dcterms:title,dcterms:date,dcterms:spatial
<<<<<<< HEAD
FN-1A,"San Souci, Haiti", 
=======
FN-1A,San Souci, Haiti, 
>>>>>>> 411fb3e3acbf7a240211f2103cc47e37026afe8d
FN-1A,,
FN-1A,"San Souci, Haiti",
FN-1A,"San Souci, Haiti",
FN-1A,"San Souci, Haiti",
FN-1A,,
FN-1B,"Nevis, West Indies",
FN-1B,"England",
FN-1B,,
FN-1C,"South Africa",1949
FN-1C,"South Africa",1949
FN-1C,"South Africa",1949
FN-1C,,
FN-2A,"Galveston, Texas",1978
FN-2A,,1924
FN-2A,"N. Carolina",1945
FN-2A,"Australia",
FN-2A,,
FN-2A,"Havana, Cuba",1915
FN-2A,,
FN-2B,"Newark, N.J.", 
FN-2B,"Russia",
FN-2B,,
FN-2C,"Girard, Kansas",
FN-2C,,
FN-2C,,
FN-3A,"Adowa, Ethiopia",1896
FN-3A,"Spain",
FN-3A,"Italy",
FN-3A,,
FN-3A,,
FN-3A,"Southern France",
FN-3A,"Europe",1896
FN-3A,,
FN-3B,"Louisville, KY",1859
FN-3B,"Kaw Valley, Kans",
FN-3B,,
FN-3B,,
FN-3C,"Cuba",1852-1911
FN-3C,"Paris",
FN-3C,"The Conservatory",
FN-3C,"Leading European Cities",
FN-3C,,
FN-3C,"Germany",
FN-3C,,
FN-4A,"Ghana", 
FN-4A,"Africa",
FN-4A,"Cambridge Univ.",
FN-4A,"Oxford",
FN-4A,"London, England",
FN-4A,"University College, Ghana",
FN-4A,"Ghana",
FN-4A,"Liberia",
FN-4A,"Sierra Leone",
FN-4A,,1946
FN-4A,,
FN-4A,,
FN-4A,,
FN-4A,"The Congo",
FN-4A,,
FN-4D,"United States",1829
FN-4D,,
FN-4D,,
FN-4C,"Kentucky",1872
FN-4C,"The State Mansion",36 years
FN-4C,,
FN-4C,,
FN-4C,,
FN-5A,"Morocco",1870s and 80s
FN-5A,"Morocco",
FN-5A,,
FN-5A,"Morocco",
FN-5A,"Morocco",
FN-5A,"Morocco",
FN-5A,,
FN-5C,"Haiti",
FN-5C,"Haiti",
FN-5C,"Haiti",
FN-5C,"Haiti",
FN-5C,,
FN-5D,,
FN-5D,"Fresno, California", 
FN-5D,,
FN-5D,,
FN-6A,"Mound Bayou, Miss.",1847
FN-6A,"Mound Bayou, Miss.",1887
FN-6A,"Mound Bayou, Miss.",1887
FN-6A,,
FN-6A,,
FN-6C,"Mound Bayou, Miss.",July 17, 1887
FN-6C,"Mound Bayou, Miss.",
FN-6C,"Mound Bayou, Miss.",
FN-6C,,
FN-6C,,1890
FN-6C,,
FN-6C,,
FN-6D,"France",
FN-6D,"France",
FN-6D,,
FN-6D,"Africa",1504
FN-6D,"Africa",1504
FN-6D,"Scotland",1504
FN-6D,"Scotland",
FN-6D,"Edinburgh, Scotland",June 1507
FN-6D,,
FN-7A,"Tunis",1533
FN-7A,"North Africa",
FN-7A,"England",
FN-7A,"Ireland",
FN-7A,"Sallee (Morocco)",
FN-7A,"Algiers",
FN-7A,"Tunis",
FN-7A,"Constantinople",
FN-7A,,1800
FN-7A,"The United States",
FN-7A,"Atlantic",
FN-7A,"Mediterranean",
FN-7A,,
FN-7C,"St. Augustine, Fla", 
FN-7C,,
FN-7D,,1884
FN-7D,,1885
FN-7D,,1886
FN-7D,,1888
FN-7D,,
FN-7D,,
FN-7D,,
FN-7D,"Church Hill Downs",
FN-7D,,
FN-7D,"Church Hill Downs",
FN-7D,,
FN-7D,,
FN-8A,"Persia",2300 B.C.
FN-8A,"Babylon",
FN-8A,"Assyria",
FN-8A,,
FN-8A,,
FN-8A,"Susa",
FN-8A,,
FN-8A,,
FN-8A,,
FN-8A,,
FN-8A,"Susa",
FN-8C,"U.S.",1869
FN-8C,"U.S.", 
FN-8C,"Philadelphia", 
FN-8C,"Columbia", 
FN-8C,"S.C.", 
FN-8C,"Washington D.C.", 
FN-8C,,
FN-8D,"Africa", 
FN-8D,"Southern Morocco",
FN-8D,"Southern Morocco",
FN-8D,"Southern Morocco",
FN-8D,"Southern Morocco",
FN-8D,,
FN-9A,"Nigeria",1958
FN-9A,"London University, England",
FN-9A,,
FN-9A,,
FN-9A,,
FN-9D,"France",
FN-9D,"Sudan",
FN-9D,"Sudan",
FN-9D,,
FN-9D,,
FN-9C,"South Africa",1765-1835
FN-9C,"South Africa",
FN-9C,"South Africa",
FN-9C,"Kok-Stad, Griqualand",1867
FN-9C,"Kok-Stad, Griqualand",
FN-9C,"Kok-Stad, Griqualand",
FN-9C,,
FN-10A,"Brighton, England",18th Century
FN-10A,"Brighton, England",18th Century
FN-10A,,
FN-10B,"Central Sahara, Africa",1935
FN-10B,"Kahalari Desert, South Africa",
FN-10B,"Ancient Egypt",
FN-10B,"Ancient Egypt",
FN-10B,,
FN-10C,"Timbuctoo",late 17th Century
FN-10C,"Timbuctoo",
FN-10C,"Timbuctoo", 
FN-10C,"The Niger",late 17th Century
FN-10C,,
FN-11A,"The Gold Coast",
FN-11A,"Geneva",1956
FN-11A,,
FN-11D,"American Colonies",
FN-11D,"American Colonies",
FN-11D,"American Colonies",
FN-11D,"American Colonies",
FN-11D,"American Colonies",
FN-11D,"American Colonies",
FN-11D,"American Colonies",
FN-11D,"American Colonies",
FN-11D,"Niger",
FN-11D,"Ancient Rome",
FN-11D,"Europe",
FN-11D,"Europe",
FN-11D,,
FN-11C,"New York City",1825
FN-11C,"Europe",
FN-11C,"America",
FN-11C,"France",
FN-11C,"France",
FN-11C,"France",
FN-11C,"Russia",
FN-11C,"America ",1851
FN-11C,,
FN-11C,,
FN-11C,,
FN-11C,,
FN-12A,,1836
FN-12A,"New York ",
FN-12A,"China",
FN-12A,"France",
FN-12A,"Japan",
FN-12A,"Italy",
FN-12A,"Mexico",
FN-12A,"Nashville, Tenessee",
FN-12A,"The Southern Exposition",
FN-12A,,The Civil War
FN-12A,,
FN-12C,"New Haven, Connecticut",1833-1938
FN-12C,,
FN-12C,,1863
FN-12C,"Des Moines, Iowa",
FN-12C,,
FN-12C,,
FN-12D,,
FN-12D,,
FN-12D,,
FN-12D,,
FN-13A,"New Orleans",April 6, 1893
FN-13A,,
FN-13A,"New Orleans",April 6, 1893
FN-13A,,
FN-13A,,
FN-13C,,
FN-13C,,
FN-13C,"Virginia",
FN-13C,,
FN-14A,"Ethiopia",
FN-14A,"England",
