dcterms:title,dcterms:spatial,dcterms:date,art:url
FN-1A,"19.605298398189095, -72.21907364602487", ,https://scalar.usc.edu/works/decoding-diaspora/media/FN-1A.jpg
FN-1B,"17.1554, -62.5796",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-1B.jpg
FN-1C,"	-25.74486	, 28.18783",1949,https://scalar.usc.edu/works/decoding-diaspora/media/FN-1C.jpg
FN-2A," 29.3013500, -94.7977000",1878,https://scalar.usc.edu/works/decoding-diaspora/media/FN-2A.jpg
FN-2B,"40.73566,  -74.17237", ,https://scalar.usc.edu/works/decoding-diaspora/media/FN-2B.jpg
FN-2C,"37.511160, -94.838021",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-2C.jpg
FN-3A,"14.1666667, 38.96000000",1896,https://scalar.usc.edu/works/decoding-diaspora/media/FN-3A.jpg
FN-3B,"38.244926, -85.757767",1859,https://scalar.usc.edu/works/decoding-diaspora/media/FN-3B.jpg
FN-3C,"23.133, 82.383",1852 - 1911,https://scalar.usc.edu/works/decoding-diaspora/media/FN-3C.jpg
FN-4A,"5.614818, -0.205874", ,https://scalar.usc.edu/works/decoding-diaspora/media/FN-4A.jpg
FN-4D," 38.89511, -77.03637",1829,https://scalar.usc.edu/works/decoding-diaspora/media/FN-4D.jpg
FN-4C,"38.20091, -84.87328",1872,https://scalar.usc.edu/works/decoding-diaspora/media/FN-4C.jpg
FN-5A,"34.020882, -6.841650",1870 - 1880,https://scalar.usc.edu/works/decoding-diaspora/media/FN-5A.jpg
FN-5C,"18.575394, -72.294708",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-5C.jpg
FN-5D,"36.746841, -119.772591", ,https://scalar.usc.edu/works/decoding-diaspora/media/FN-5D.jpg
FN-6A," 33.878167, -90.72732",1847,https://scalar.usc.edu/works/decoding-diaspora/media/FN-6A.jpg
FN-6D,"48.858093,  2.294694",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-6D.jpg
FN-6C,"30.005493, 31.477898",1504,https://scalar.usc.edu/works/decoding-diaspora/media/FN-6C.jpg
FN-7A,"36.81897, 10.16579",1533,https://scalar.usc.edu/works/decoding-diaspora/media/FN-7A.jpg
FN-7C,"29.901243, -81.312431", ,https://scalar.usc.edu/works/decoding-diaspora/media/FN-7C.jpg
FN-7D,,1884,https://scalar.usc.edu/works/decoding-diaspora/media/FN-7D.jpg
FN-8A," 35.546505, 51.129791",2300BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-8A.jpg
FN-8C,"39.998089,  -75.134109",1869,https://scalar.usc.edu/works/decoding-diaspora/media/FN-8C.jpg
FN-8D,"30.005493, 31.477899", ,https://scalar.usc.edu/works/decoding-diaspora/media/FN-8D.jpg
FN-9A,"6.465422, 3.406448",1958,https://scalar.usc.edu/works/decoding-diaspora/media/FN-9A.jpg
FN-9C," -25.74486	, 28.18783",1765 -1835,https://scalar.usc.edu/works/decoding-diaspora/media/FN-9C.jpg
FN-9D,"48.858093,  2.294694",1958,https://scalar.usc.edu/works/decoding-diaspora/media/FN-9D.jpg
FN-10A,"50.82838, -0.13947",1700,https://scalar.usc.edu/works/decoding-diaspora/media/FN-10A.jpg
FN-10B,"18.079021, -15.965662",1935,https://scalar.usc.edu/works/decoding-diaspora/media/FN-10B.jpg
FN-10C,"16.77348, -3.00742",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-10C.jpg
FN-11A,"46.433334, 6.550000",1956,https://scalar.usc.edu/works/decoding-diaspora/media/FN-11A.jpg
FN-11C,"40.7128, 74.0060",1825,https://scalar.usc.edu/works/decoding-diaspora/media/FN-11C.jpg
FN-11D," 37.541290, -77.434769",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-11D.jpg
FN-12A,"40.7128, 74.0060",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-12A.jpg
FN-12C,"41.310726, -72.929916",1833-1938,https://scalar.usc.edu/works/decoding-diaspora/media/FN-12C.jpg
FN-13A,"30.001667, -90.092781",4/6/1893,https://scalar.usc.edu/works/decoding-diaspora/media/FN-13A.jpg
FN-13C," 37.541290, -77.434769",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-13C.jpg
FN-14A,"52.370876, -1.265032",1867,https://scalar.usc.edu/works/decoding-diaspora/media/FN-14A.jpg
FN-14C,"18.575394, -72.294708",1686,https://scalar.usc.edu/works/decoding-diaspora/media/FN-14C.jpg
FN-14D," 39.12711, -84.51438",1850,https://scalar.usc.edu/works/decoding-diaspora/media/FN-14D.jpg
FN-15A,"31.560444, -91.403171",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-15A.jpg
FN-15C,"53.801277, -1.548567",1843,https://scalar.usc.edu/works/decoding-diaspora/media/FN-15C.jpg
FN-15D,"38.900497,-77.007507",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-15D.jpg
FN-16A,"-0.803689, 11.609443",1849,https://scalar.usc.edu/works/decoding-diaspora/media/FN-16A.jpg
FN-16C,"38.900497,-77.007507",1890,https://scalar.usc.edu/works/decoding-diaspora/media/FN-16C.jpg
FN-17A,"33.589886, -7.603869",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-17A.jpg
FN-17C,"30.033333, 31.233332",1500BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-17C.jpg
FN-17D,,04/13/1873,https://scalar.usc.edu/works/decoding-diaspora/media/FN-17D.jpg
FN-18A,"9.036000, 38.752300",3730BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-18A.jpg
FN-18C,"30.033333, 31.233332",670BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-18C.jpg
FN-18D,"44.944099, -123.040283",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-18D.jpg
FN-19A,,1785 - 1851,https://scalar.usc.edu/works/decoding-diaspora/media/FN-19A.jpg
FN-19D,"51.507359,  -0.136439",1902,https://scalar.usc.edu/works/decoding-diaspora/media/FN-19D.jpg
FN-19C,"13.073226,  80.260918",1300 BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-19C.jpg
FN-20A,"-15.60915, 34.522820",1962,https://scalar.usc.edu/works/decoding-diaspora/media/FN-20A.jpg
FN-20D,,1959,https://scalar.usc.edu/works/decoding-diaspora/media/FN-20D.jpg
FN-21A,"-1.940278, 29.873888", ,https://scalar.usc.edu/works/decoding-diaspora/media/FN-21A.jpg
FN-21C,"51.507359,  -0.136439",1651,https://scalar.usc.edu/works/decoding-diaspora/media/FN-21C.jpg
FN-21D,"31.76904, 35.21631",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-21D.jpg
FN-22A,"51.507359,  -0.136439",1947,https://scalar.usc.edu/works/decoding-diaspora/media/FN-22A.jpg
FN-22C,"17.712061, -64.876327",1848,https://scalar.usc.edu/works/decoding-diaspora/media/FN-22C.jpg
FN-22D,"36.726017, 3.082667", ,https://scalar.usc.edu/works/decoding-diaspora/media/FN-22D.jpg
FN-23A,"30.033333, 31.233334",1500BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-23A.jpg
FN-23C," 37.98869, -84.47772",1926,https://scalar.usc.edu/works/decoding-diaspora/media/FN-23C.jpg
FN-24A,"40.7128, 74.0060",1765 - 1791,https://scalar.usc.edu/works/decoding-diaspora/media/FN-24A.jpg
FN-24C,"8.983333, -79.516670",1513,https://scalar.usc.edu/works/decoding-diaspora/media/FN-24C.jpg
FN-24D,"21.050, -102.979",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-24D.jpg
FN-25A,"38.900497,-77.007507",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-25A.jpg
FN-25B,"38.900497,-77.007507",1867,https://scalar.usc.edu/works/decoding-diaspora/media/FN-25B.jpg
FN-25C,"30.033333, 31.233334",1802 - 1811,https://scalar.usc.edu/works/decoding-diaspora/media/FN-25C.jpg
FN-26A,"-21.1087, 55.5261",1865,https://scalar.usc.edu/works/decoding-diaspora/media/FN-26A.jpg
FN-26D,"40.367474,  -82.996216",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-26D.jpg
